,rid,id,text,category_first,category_second,polarity,from,to
0,1004293,1004293:0,"Judging from previous posts this used to be a good place, but not any longer.",RESTAURANT,GENERAL,negative,51,56
1,1004293,1004293:1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",SERVICE,GENERAL,negative,75,80
2,1004293,1004293:2,"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.",SERVICE,GENERAL,negative,0,0
3,1004293,1004293:3,The food was lousy - too sweet or too salty and the portions tiny.,FOOD,QUALITY,negative,4,8
4,1004293,1004293:4,"After all that, they complained to me about the small tip.",SERVICE,GENERAL,negative,0,0
5,1004293,1004293:5,Avoid this place!,RESTAURANT,GENERAL,negative,11,16
6,1014458,1014458:0,"I have eaten at Saul, many times, the food is always consistently, outrageously good.",FOOD,QUALITY,positive,38,42
7,1014458,1014458:1,Saul is the best restaurant on Smith Street and in Brooklyn.,RESTAURANT,GENERAL,positive,0,4
8,1014458,1014458:2,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,FOOD,QUALITY,positive,42,69
9,1014458,1014458:3,The wine list is interesting and has many good values.,DRINKS,STYLE_OPTIONS,positive,4,13
10,1014458,1014458:4,"For the price, you cannot eat this well in Manhattan.",RESTAURANT,PRICES,positive,0,0
11,1016296,1016296:0,I was very disappointed with this restaurant.,RESTAURANT,GENERAL,negative,34,44
12,1016296,1016296:1,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,SERVICE,GENERAL,negative,12,26
13,1016296,1016296:2,I had to ask her three times before she finally came back with the dish Ive requested.,SERVICE,GENERAL,negative,0,0
14,1016296,1016296:3,"Food was okay, nothing great.",FOOD,QUALITY,neutral,0,4
15,1016296,1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,FOOD,QUALITY,negative,0,8
16,1016296,1016296:5,I/we will never go back to this place again.,RESTAURANT,GENERAL,negative,32,37
17,1028246,1028246:0,"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",RESTAURANT,GENERAL,positive,35,39
18,1028246,1028246:1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",SERVICE,GENERAL,positive,0,7
19,1028246,1028246:2,You can't go wrong here.,RESTAURANT,GENERAL,positive,0,0
20,1032695,1032695:0,Every time in New York I make it a point to visit Restaurant Saul on Smith Street.,RESTAURANT,GENERAL,positive,50,65
21,1032695,1032695:1,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",FOOD,QUALITY,positive,0,0
22,1032695,1032695:2,I had the duck breast special on my last visit and it was incredible.,FOOD,QUALITY,positive,10,29
23,1032695,1032695:3,Can't wait wait for my next visit.,RESTAURANT,GENERAL,positive,0,0
24,1041457,1041457:0,"I had my eyes on this place, promising myself I will one day 'give it a try.' ",,,,,
25,1041457,1041457:1,And I hate to say this but I doubt I'll ever go back. ,RESTAURANT,GENERAL,negative,0,0
26,1041457,1041457:2,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",FOOD,QUALITY,negative,4,8
27,1041457,1041457:3,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,FOOD,QUALITY,positive,46,88
28,1041457,1041457:4,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,FOOD,QUALITY,positive,16,30
29,1041457,1041457:5,"Anyways, if you're in the neighborhood to eat good food, I wouldn't waste my time trying to find something, rather go across the street to Tamari.",,,,,
30,1041457,1041457:6,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",AMBIENCE,GENERAL,negative,142,147
31,1053543,1053543:0,We ate outside at Haru's Sake bar because Haru's restaurant next door was overflowing.,,,,,
32,1053543,1053543:1,What's the difference between the two?,,,,,
33,1053543,1053543:2,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",DRINKS,STYLE_OPTIONS,positive,6,15
34,1053543,1053543:3,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",FOOD,QUALITY,positive,4,19
35,1053543,1053543:4,We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,SERVICE,GENERAL,positive,74,81
36,1055910,1055910:0,we love th pink pony.,RESTAURANT,GENERAL,positive,11,20
37,1055910,1055910:1,THe perfect spot.,RESTAURANT,GENERAL,positive,12,16
38,1055910,1055910:2,Food-awesome.,FOOD,QUALITY,positive,0,4
39,1055910,1055910:3,Service- friendly and attentive.,SERVICE,GENERAL,positive,0,7
40,1055910,1055910:4,Ambiance- relaxed and stylish.,AMBIENCE,GENERAL,positive,0,8
41,1055910,1055910:5,"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.",RESTAURANT,GENERAL,positive,17,22
42,1058221,1058221:0,"i have eaten here a handful of times, for no reason besides sheer convenience.",,,,,
43,1058221,1058221:1,"(i hang out, and live, in the neighborhood..) ",,,,,
44,1058221,1058221:2,the food is decent.,FOOD,QUALITY,neutral,4,8
45,1058221,1058221:3,"however, it's the service that leaves a bad taste in my mouth.",SERVICE,GENERAL,negative,18,25
46,1058221,1058221:4,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",SERVICE,GENERAL,negative,106,112
47,1058221,1058221:5,"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.",SERVICE,GENERAL,negative,0,0
48,1058221,1058221:6,"well, i didn't find it there, and trust, i have told everyone i can think of about my experience. ",RESTAURANT,GENERAL,negative,0,0
49,1058221,1058221:7,the last time i walked by it looked pretty empty. hmmm.,RESTAURANT,MISCELLANEOUS,negative,0,0
50,1062641,1062641:0,This place has got to be the best japanese restaurant in the new york area.,RESTAURANT,GENERAL,positive,5,10
51,1062641,1062641:1,I had a great experience.,RESTAURANT,GENERAL,positive,0,0
52,1062641,1062641:2,Food is great.,FOOD,QUALITY,positive,0,4
53,1062641,1062641:3,Service is top notch.,SERVICE,GENERAL,positive,0,7
54,1062641,1062641:4,I have been going back again and again.,RESTAURANT,GENERAL,positive,0,0
55,1064477,1064477:0,"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",FOOD,QUALITY,positive,42,52
56,1064477,1064477:1,"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.",FOOD,QUALITY,positive,0,0
57,1064477,1064477:2,The sushi seemed pretty fresh and was adequately proportioned.,FOOD,QUALITY,positive,4,9
58,1064477,1064477:3,The rice to fish ration was also good--they didn't try to overpack the rice.,FOOD,STYLE_OPTIONS,positive,4,23
59,1064477,1064477:4,We took advanatage of the half price sushi deal on saturday so it was well worth it.,FOOD,QUALITY,positive,26,47
60,1074868,1074868:0,I went to this restaurant with a woman that I met recently.,,,,,
61,1074868,1074868:1,She lives nearby but had never gone to this establishment thinking that it might be too touristy.,,,,,
62,1074868,1074868:2,Surprisingly nothing could be further from the truth.,RESTAURANT,MISCELLANEOUS,positive,0,0
63,1074868,1074868:3,"In the evening, this place attracted a well dressed, with it, NY crowd.",RESTAURANT,MISCELLANEOUS,positive,65,70
64,1074868,1074868:4,The food was well prepared and the service impecable.,FOOD,QUALITY,positive,4,8
65,1074868,1074868:5,I'm going back.,RESTAURANT,GENERAL,positive,0,0
66,1084394,1084394:0,"Having hunted around for a quiet, romantic, yet not hideously expensive restaurant I stumbled across reviews for La Lanterna and gave it a shot.",,,,,
67,1084394,1084394:1,Quite simply it's like stepping out of Manhattan and into a haven of tranquility.,AMBIENCE,GENERAL,positive,0,0
68,1084394,1084394:2,"The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.",,,,,
